t,acx,acy,acz,gyx,gyy,gyz,y,M,d,h,m,s,us,t,lat,lon
426,3613,675,939,-121,160,-154,2022,7,2,22,46,47,849188,42,39.498562,-104.811569
426,3613,675,939,-121,160,-154,2022,7,2,22,46,47,849188,42,39.498562,-104.811569
426,5104,346,1330,-57,-315,125,2022,7,2,22,46,48,54229,1,39.498563,-104.811569
426,5104,346,1330,-57,-315,125,2022,7,2,22,46,48,54229,1,39.498563,-104.811569
426,5104,346,1330,-57,-315,125,2022,7,2,22,46,48,54229,1,39.498563,-104.811569
426,4002,681,1042,-186,511,101,2022,7,2,22,46,48,54229,42,39.498563,-104.811569
426,4002,681,1042,-186,511,101,2022,7,2,22,46,48,54229,42,39.498563,-104.811569
426,4002,681,1042,-186,511,101,2022,7,2,22,46,48,54229,42,39.498563,-104.811569
426,4716,283,916,-19,-419,-163,2022,7,2,22,46,48,54229,42,39.498563,-104.811569
426,4716,283,916,-19,-419,-163,2022,7,2,22,46,48,54229,42,39.498563,-104.811569
426,4716,283,916,-19,-419,-163,2022,7,2,22,46,48,54229,42,39.498563,-104.811569
426,4791,834,1172,-127,338,373,2022,7,2,22,46,48,54229,42,39.498563,-104.811569
426,4791,834,1172,-127,338,373,2022,7,2,22,46,48,54229,42,39.498563,-104.811569
426,4791,834,1172,-127,338,373,2022,7,2,22,46,48,259847,1,39.498565,-104.811568
427,3978,399,744,44,-353,-417,2022,7,2,22,46,48,259847,1,39.498565,-104.811568
427,3978,399,744,44,-353,-417,2022,7,2,22,46,48,259847,1,39.498565,-104.811568
427,3978,399,744,44,-353,-417,2022,7,2,22,46,48,259847,42,39.498565,-104.811568
427,5661,329,1272,-50,-262,570,2022,7,2,22,46,48,259847,42,39.498565,-104.811568
427,5661,329,1272,-50,-262,570,2022,7,2,22,46,48,259847,42,39.498565,-104.811568
427,5661,329,1272,-50,-262,570,2022,7,2,22,46,48,259847,42,39.498565,-104.811568
427,3608,80,717,-78,-48,-432,2022,7,2,22,46,48,259847,42,39.498565,-104.811568
427,3608,80,717,-78,-48,-432,2022,7,2,22,46,48,259847,42,39.498565,-104.811568
427,3608,80,717,-78,-48,-432,2022,7,2,22,46,48,259847,42,39.498565,-104.811568
427,5197,-135,1416,-128,-181,346,2022,7,2,22,46,48,469770,1,39.498566,-104.811569
427,5197,-135,1416,-128,-181,346,2022,7,2,22,46,48,469770,1,39.498566,-104.811569
427,5197,-135,1416,-128,-181,346,2022,7,2,22,46,48,469770,1,39.498566,-104.811569
427,3715,411,1068,-138,311,-158,2022,7,2,22,46,48,469770,42,39.498566,-104.811569
427,3715,411,1068,-138,311,-158,2022,7,2,22,46,48,469770,42,39.498566,-104.811569
427,3715,411,1068,-138,311,-158,2022,7,2,22,46,48,469770,42,39.498566,-104.811569
427,5111,85,1192,-33,-215,-84,2022,7,2,22,46,48,469770,42,39.498566,-104.811569
427,5111,85,1192,-33,-215,-84,2022,7,2,22,46,48,469770,42,39.498566,-104.811569
427,5111,85,1192,-33,-215,-84,2022,7,2,22,46,48,469770,42,39.498566,-104.811569
427,4011,373,1018,-118,257,184,2022,7,2,22,46,48,469770,42,39.498566,-104.811569
427,4011,373,1018,-118,257,184,2022,7,2,22,46,48,670537,1,39.498567,-104.811569
427,4011,373,1018,-118,257,184,2022,7,2,22,46,48,670537,1,39.498567,-104.811569
427,4626,57,971,-1,-329,-261,2022,7,2,22,46,48,670537,1,39.498567,-104.811569
427,4626,57,971,-1,-329,-261,2022,7,2,22,46,48,670537,1,39.498567,-104.811569
427,4626,57,971,-1,-329,-261,2022,7,2,22,46,48,670537,1,39.498567,-104.811569
427,4900,461,1230,-64,22,386,2022,7,2,22,46,48,771362,1,39.498568,-104.811569
427,4900,461,1230,-64,22,386,2022,7,2,22,46,48,771362,1,39.498568,-104.811569
427,4900,461,1230,-64,22,386,2022,7,2,22,46,48,771362,1,39.498568,-104.811569
427,4155,4,836,48,-423,-430,2022,7,2,22,46,48,771362,42,39.498568,-104.811569
427,4155,4,836,48,-423,-430,2022,7,2,22,46,48,771362,42,39.498568,-104.811569
427,4155,4,836,48,-423,-430,2022,7,2,22,46,48,771362,42,39.498568,-104.811569
427,4606,-82,1312,-87,-86,501,2022,7,2,22,46,48,771362,42,39.498568,-104.811569
427,4606,-82,1312,-87,-86,501,2022,7,2,22,46,48,771362,42,39.498568,-104.811569
427,4606,-82,1312,-87,-86,501,2022,7,2,22,46,48,771362,42,39.498568,-104.811569
427,3972,-146,875,28,-318,-536,2022,7,2,22,46,48,771362,42,39.498568,-104.811569
427,3972,-146,875,28,-318,-536,2022,7,2,22,46,48,771362,42,39.498568,-104.811569
427,3972,-146,875,28,-318,-536,2022,7,2,22,46,48,977347,1,39.498570,-104.811569
427,4983,-181,1344,-114,-30,229,2022,7,2,22,46,48,977347,1,39.498570,-104.811569
427,4983,-181,1344,-114,-30,229,2022,7,2,22,46,48,977347,42,39.498570,-104.811569
427,4983,-181,1344,-114,-30,229,2022,7,2,22,46,48,977347,42,39.498570,-104.811569
427,4179,-158,1147,-117,39,-138,2022,7,2,22,46,48,977347,42,39.498570,-104.811569
427,4179,-158,1147,-117,39,-138,2022,7,2,22,46,48,977347,42,39.498570,-104.811569
427,4179,-158,1147,-117,39,-138,2022,7,2,22,46,48,977347,42,39.498570,-104.811569
427,4519,-251,1330,-85,-92,2,2022,7,2,22,46,48,977347,42,39.498570,-104.811569
427,4519,-251,1330,-85,-92,2,2022,7,2,22,46,48,977347,42,39.498570,-104.811569
427,4519,-251,1330,-85,-92,2,2022,7,2,22,46,48,977347,42,39.498570,-104.811569
427,4752,-52,1220,-13,-157,80,2022,7,2,22,46,49,182936,1,39.498571,-104.811569
427,4752,-52,1220,-13,-157,80,2022,7,2,22,46,49,182936,1,39.498571,-104.811569
427,4752,-52,1220,-13,-157,80,2022,7,2,22,46,49,182936,1,39.498571,-104.811569
427,4016,-393,1316,-45,-213,-14,2022,7,2,22,46,49,182936,42,39.498571,-104.811569
427,4016,-393,1316,-45,-213,-14,2022,7,2,22,46,49,182936,42,39.498571,-104.811569
428,4016,-393,1316,-45,-213,-14,2022,7,2,22,46,49,182936,42,39.498571,-104.811569
428,4988,-448,1325,-107,65,117,2022,7,2,22,46,49,182936,42,39.498571,-104.811569
428,4988,-448,1325,-107,65,117,2022,7,2,22,46,49,182936,42,39.498571,-104.811569
428,4988,-448,1325,-107,65,117,2022,7,2,22,46,49,182936,42,39.498571,-104.811569
428,4605,-335,1288,-64,8,41,2022,7,2,22,46,49,182936,42,39.498571,-104.811569
428,4605,-335,1288,-64,8,41,2022,7,2,22,46,49,395298,1,39.498572,-104.811568
428,4605,-335,1288,-64,8,41,2022,7,2,22,46,49,395298,1,39.498572,-104.811568
428,4782,-534,1286,-81,-65,30,2022,7,2,22,46,49,395298,1,39.498572,-104.811568
428,4782,-534,1286,-81,-65,30,2022,7,2,22,46,49,395298,42,39.498572,-104.811568
428,4782,-534,1286,-81,-65,30,2022,7,2,22,46,49,395298,42,39.498572,-104.811568
428,4617,-524,1282,-107,9,110,2022,7,2,22,46,49,395298,42,39.498572,-104.811568
428,4617,-524,1282,-107,9,110,2022,7,2,22,46,49,395298,42,39.498572,-104.811568
428,4617,-524,1282,-107,9,110,2022,7,2,22,46,49,395298,42,39.498572,-104.811568
428,4061,-502,1237,-104,-49,-84,2022,7,2,22,46,49,395298,42,39.498572,-104.811568
428,4061,-502,1237,-104,-49,-84,2022,7,2,22,46,49,395298,42,39.498572,-104.811568
428,4061,-502,1237,-104,-49,-84,2022,7,2,22,46,49,592710,1,39.498573,-104.811568
428,4720,-670,1361,-38,-219,78,2022,7,2,22,46,49,592710,1,39.498573,-104.811568
428,4720,-670,1361,-38,-219,78,2022,7,2,22,46,49,592710,1,39.498573,-104.811568
428,4720,-670,1361,-38,-219,78,2022,7,2,22,46,49,592710,42,39.498573,-104.811568
428,4441,-407,1122,-14,-116,-45,2022,7,2,22,46,49,592710,42,39.498573,-104.811568
428,4441,-407,1122,-14,-116,-45,2022,7,2,22,46,49,592710,42,39.498573,-104.811568
428,4441,-407,1122,-14,-116,-45,2022,7,2,22,46,49,592710,42,39.498573,-104.811568
428,4715,-610,1435,-120,2,-86,2022,7,2,22,46,49,592710,42,39.498573,-104.811568
