t,acx,acy,acz,gyx,gyy,gyz,y,M,d,h,m,s,us,t,lat,lon
620,4862,554,917,-161,-380,225,2022,7,2,22,50,1,820323,42,39.498629,-104.811935
620,4862,554,917,-161,-380,225,2022,7,2,22,50,1,820323,42,39.498629,-104.811935
620,4393,519,668,-232,-157,-248,2022,7,2,22,50,1,820323,42,39.498629,-104.811935
620,4393,519,668,-232,-157,-248,2022,7,2,22,50,1,820323,42,39.498629,-104.811935
620,4393,519,668,-232,-157,-248,2022,7,2,22,50,1,820323,42,39.498629,-104.811935
620,4758,516,622,-212,-358,-89,2022,7,2,22,50,2,23348,1,39.498630,-104.811930
620,4758,516,622,-212,-358,-89,2022,7,2,22,50,2,23348,1,39.498630,-104.811930
620,4758,516,622,-212,-358,-89,2022,7,2,22,50,2,23348,1,39.498630,-104.811930
620,4566,774,580,-270,-1,64,2022,7,2,22,50,2,23348,42,39.498630,-104.811930
620,4566,774,580,-270,-1,64,2022,7,2,22,50,2,23348,42,39.498630,-104.811930
620,4566,774,580,-270,-1,64,2022,7,2,22,50,2,23348,42,39.498630,-104.811930
620,4479,597,540,-371,36,-79,2022,7,2,22,50,2,23348,42,39.498630,-104.811930
620,4479,597,540,-371,36,-79,2022,7,2,22,50,2,23348,42,39.498630,-104.811930
620,4479,597,540,-371,36,-79,2022,7,2,22,50,2,23348,42,39.498630,-104.811930
620,4861,840,664,-339,-2,41,2022,7,2,22,50,2,23348,42,39.498630,-104.811930
620,4861,840,664,-339,-2,41,2022,7,2,22,50,2,226038,1,39.498631,-104.811927
620,4861,840,664,-339,-2,41,2022,7,2,22,50,2,226038,1,39.498631,-104.811927
620,4350,960,483,-292,-63,49,2022,7,2,22,50,2,226038,1,39.498631,-104.811927
621,4350,960,483,-292,-63,49,2022,7,2,22,50,2,226038,42,39.498631,-104.811927
621,4350,960,483,-292,-63,49,2022,7,2,22,50,2,226038,42,39.498631,-104.811927
621,4316,770,570,-323,-212,14,2022,7,2,22,50,2,226038,42,39.498631,-104.811927
621,4316,770,570,-323,-212,14,2022,7,2,22,50,2,226038,42,39.498631,-104.811927
621,4316,770,570,-323,-212,14,2022,7,2,22,50,2,226038,42,39.498631,-104.811927
621,4437,809,458,-333,-144,-11,2022,7,2,22,50,2,226038,42,39.498631,-104.811927
621,4437,809,458,-333,-144,-11,2022,7,2,22,50,2,226038,42,39.498631,-104.811927
621,4437,809,458,-333,-144,-11,2022,7,2,22,50,2,226038,42,39.498631,-104.811927
621,4490,1030,407,-360,-150,-14,2022,7,2,22,50,2,427141,1,39.498631,-104.811924
621,4490,1030,407,-360,-150,-14,2022,7,2,22,50,2,427141,1,39.498631,-104.811924
621,4490,1030,407,-360,-150,-14,2022,7,2,22,50,2,427141,42,39.498631,-104.811924
621,4459,1164,466,-390,-120,12,2022,7,2,22,50,2,427141,42,39.498631,-104.811924
621,4459,1164,466,-390,-120,12,2022,7,2,22,50,2,427141,42,39.498631,-104.811924
621,4459,1164,466,-390,-120,12,2022,7,2,22,50,2,427141,42,39.498631,-104.811924
621,4624,1124,486,-433,-93,-51,2022,7,2,22,50,2,427141,42,39.498631,-104.811924
621,4624,1124,486,-433,-93,-51,2022,7,2,22,50,2,427141,42,39.498631,-104.811924
621,4624,1124,486,-433,-93,-51,2022,7,2,22,50,2,427141,42,39.498631,-104.811924
621,4671,998,284,-481,-87,-64,2022,7,2,22,50,2,427141,42,39.498631,-104.811924
621,4671,998,284,-481,-87,-64,2022,7,2,22,50,2,630441,1,39.498631,-104.811921
621,4671,998,284,-481,-87,-64,2022,7,2,22,50,2,630441,1,39.498631,-104.811921
621,4601,1008,238,-514,-148,-9,2022,7,2,22,50,2,630441,42,39.498631,-104.811921
621,4601,1008,238,-514,-148,-9,2022,7,2,22,50,2,630441,42,39.498631,-104.811921
621,4601,1008,238,-514,-148,-9,2022,7,2,22,50,2,630441,42,39.498631,-104.811921
621,4581,1251,199,-462,-65,-116,2022,7,2,22,50,2,630441,42,39.498631,-104.811921
621,4581,1251,199,-462,-65,-116,2022,7,2,22,50,2,630441,42,39.498631,-104.811921
621,4581,1251,199,-462,-65,-116,2022,7,2,22,50,2,630441,42,39.498631,-104.811921
621,4447,942,229,-582,-196,12,2022,7,2,22,50,2,630441,42,39.498631,-104.811921
621,4447,942,229,-582,-196,12,2022,7,2,22,50,2,630441,42,39.498631,-104.811921
621,4447,942,229,-582,-196,12,2022,7,2,22,50,2,828064,1,39.498630,-104.811917
621,5133,998,270,-610,84,-4,2022,7,2,22,50,2,828064,1,39.498630,-104.811917
621,5133,998,270,-610,84,-4,2022,7,2,22,50,2,828064,42,39.498630,-104.811917
621,5133,998,270,-610,84,-4,2022,7,2,22,50,2,828064,42,39.498630,-104.811917
621,4315,986,-29,-564,-302,-74,2022,7,2,22,50,2,828064,42,39.498630,-104.811917
621,4315,986,-29,-564,-302,-74,2022,7,2,22,50,2,828064,42,39.498630,-104.811917
