t,acx,acy,acz,gyx,gyy,gyz,y,M,d,h,m,s,us,t,lat,lon
483,4781,-1,655,86,-698,-369,2022,7,2,22,47,44,588140,1,39.498904,-104.811426
483,5100,252,1373,-80,311,935,2022,7,2,22,47,44,588140,1,39.498904,-104.811426
483,5100,252,1373,-80,311,935,2022,7,2,22,47,44,588140,42,39.498904,-104.811426
483,5100,252,1373,-80,311,935,2022,7,2,22,47,44,588140,42,39.498904,-104.811426
483,2598,-131,254,86,-337,-795,2022,7,2,22,47,44,588140,42,39.498904,-104.811426
483,2598,-131,254,86,-337,-795,2022,7,2,22,47,44,588140,42,39.498904,-104.811426
483,2598,-131,254,86,-337,-795,2022,7,2,22,47,44,588140,42,39.498904,-104.811426
483,6251,-143,2223,-21,-465,954,2022,7,2,22,47,44,588140,42,39.498904,-104.811426
483,6251,-143,2223,-21,-465,954,2022,7,2,22,47,44,588140,42,39.498904,-104.811426
483,6251,-143,2223,-21,-465,954,2022,7,2,22,47,44,794159,1,39.498904,-104.811427
483,3075,720,1050,-32,741,-400,2022,7,2,22,47,44,794159,1,39.498904,-104.811427
483,3075,720,1050,-32,741,-400,2022,7,2,22,47,44,794159,1,39.498904,-104.811427
483,3075,720,1050,-32,741,-400,2022,7,2,22,47,44,794159,42,39.498904,-104.811427
483,5726,279,1329,143,-538,-94,2022,7,2,22,47,44,794159,42,39.498904,-104.811427
483,5726,279,1329,143,-538,-94,2022,7,2,22,47,44,794159,42,39.498904,-104.811427
483,5726,279,1329,143,-538,-94,2022,7,2,22,47,44,794159,42,39.498904,-104.811427
483,5260,1321,1309,64,297,640,2022,7,2,22,47,44,794159,42,39.498904,-104.811427
483,5260,1321,1309,64,297,640,2022,7,2,22,47,44,794159,42,39.498904,-104.811427
483,5260,1321,1309,64,297,640,2022,7,2,22,47,44,794159,42,39.498904,-104.811427
483,3171,153,412,301,-643,-857,2022,7,2,22,47,44,991538,1,39.498903,-104.811428
483,3171,153,412,301,-643,-857,2022,7,2,22,47,44,991538,1,39.498903,-104.811428
483,3171,153,412,301,-643,-857,2022,7,2,22,47,44,991538,1,39.498903,-104.811428
483,6114,-75,2364,15,-141,1329,2022,7,2,22,47,44,991538,42,39.498903,-104.811428
483,6114,-75,2364,15,-141,1329,2022,7,2,22,47,44,991538,42,39.498903,-104.811428
483,6114,-75,2364,15,-141,1329,2022,7,2,22,47,44,991538,42,39.498903,-104.811428
483,2367,112,556,-2,560,-860,2022,7,2,22,47,44,991538,42,39.498903,-104.811428
483,2367,112,556,-2,560,-860,2022,7,2,22,47,44,991538,42,39.498903,-104.811428
483,2367,112,556,-2,560,-860,2022,7,2,22,47,44,991538,42,39.498903,-104.811428
483,6394,198,1949,29,-278,284,2022,7,2,22,47,44,991538,42,39.498903,-104.811428
483,6394,198,1949,29,-278,284,2022,7,2,22,47,45,193768,1,39.498904,-104.811429
483,6394,198,1949,29,-278,284,2022,7,2,22,47,45,193768,1,39.498904,-104.811429
483,3633,1040,965,-2,845,161,2022,7,2,22,47,45,193768,1,39.498904,-104.811429
483,3633,1040,965,-2,845,161,2022,7,2,22,47,45,193768,1,39.498904,-104.811429
484,3633,1040,965,-2,845,161,2022,7,2,22,47,45,193768,42,39.498904,-104.811429
484,4496,397,807,341,-533,-430,2022,7,2,22,47,45,193768,42,39.498904,-104.811429
484,4496,397,807,341,-533,-430,2022,7,2,22,47,45,193768,42,39.498904,-104.811429
484,4496,397,807,341,-533,-430,2022,7,2,22,47,45,193768,42,39.498904,-104.811429
484,5532,840,1550,207,85,517,2022,7,2,22,47,45,193768,42,39.498904,-104.811429
484,5532,840,1550,207,85,517,2022,7,2,22,47,45,193768,42,39.498904,-104.811429
484,5532,840,1550,207,85,517,2022,7,2,22,47,45,193768,42,39.498904,-104.811429
484,3926,834,880,334,-99,-304,2022,7,2,22,47,45,399386,1,39.498907,-104.811429
484,3926,834,880,334,-99,-304,2022,7,2,22,47,45,399386,1,39.498907,-104.811429
484,3926,834,880,334,-99,-304,2022,7,2,22,47,45,399386,1,39.498907,-104.811429
484,4986,616,1616,263,-125,326,2022,7,2,22,47,45,399386,42,39.498907,-104.811429
484,4986,616,1616,263,-125,326,2022,7,2,22,47,45,399386,42,39.498907,-104.811429
484,4986,616,1616,263,-125,326,2022,7,2,22,47,45,399386,42,39.498907,-104.811429
484,4341,859,1253,302,180,-131,2022,7,2,22,47,45,399386,42,39.498907,-104.811429
484,4341,859,1253,302,180,-131,2022,7,2,22,47,45,399386,42,39.498907,-104.811429
484,4341,859,1253,302,180,-131,2022,7,2,22,47,45,399386,42,39.498907,-104.811429
484,4339,883,1329,425,-221,118,2022,7,2,22,47,45,399386,42,39.498907,-104.811429
