t,acx,acy,acz,gyx,gyy,gyz,y,M,d,h,m,s,us,t,lat,lon
377,5055,-185,1171,-13,-403,64,2022,7,2,22,45,58,423845,1,39.499029,-104.811648
377,5055,-185,1171,-13,-403,64,2022,7,2,22,45,58,423845,1,39.499029,-104.811648
377,5055,-185,1171,-13,-403,64,2022,7,2,22,45,58,423845,1,39.499029,-104.811648
377,4006,70,1063,-140,255,-47,2022,7,2,22,45,58,423845,42,39.499029,-104.811648
377,4006,70,1063,-140,255,-47,2022,7,2,22,45,58,423845,42,39.499029,-104.811648
377,4006,70,1063,-140,255,-47,2022,7,2,22,45,58,423845,42,39.499029,-104.811648
377,5001,-120,1020,5,-346,-93,2022,7,2,22,45,58,423845,42,39.499029,-104.811648
377,5001,-120,1020,5,-346,-93,2022,7,2,22,45,58,423845,42,39.499029,-104.811648
377,5001,-120,1020,5,-346,-93,2022,7,2,22,45,58,423845,42,39.499029,-104.811648
377,4822,363,1004,-152,360,327,2022,7,2,22,45,58,423845,42,39.499029,-104.811648
377,4822,363,1004,-152,360,327,2022,7,2,22,45,58,423845,42,39.499029,-104.811648
377,4822,363,1004,-152,360,327,2022,7,2,22,45,58,628954,1,39.499027,-104.811648
377,4144,-88,790,43,-351,-396,2022,7,2,22,45,58,628954,1,39.499027,-104.811648
377,4144,-88,790,43,-351,-396,2022,7,2,22,45,58,628954,42,39.499027,-104.811648
377,4144,-88,790,43,-351,-396,2022,7,2,22,45,58,628954,42,39.499027,-104.811648
377,5289,-246,1577,-125,-43,669,2022,7,2,22,45,58,628954,42,39.499027,-104.811648
377,5289,-246,1577,-125,-43,669,2022,7,2,22,45,58,628954,42,39.499027,-104.811648
377,5289,-246,1577,-125,-43,669,2022,7,2,22,45,58,628954,42,39.499027,-104.811648
377,3148,-173,628,-115,46,-478,2022,7,2,22,45,58,628954,42,39.499027,-104.811648
377,3148,-173,628,-115,46,-478,2022,7,2,22,45,58,628954,42,39.499027,-104.811648
377,3148,-173,628,-115,46,-478,2022,7,2,22,45,58,628954,42,39.499027,-104.811648
377,5407,-223,1433,-116,-220,153,2022,7,2,22,45,58,834166,1,39.499025,-104.811648
377,5407,-223,1433,-116,-220,153,2022,7,2,22,45,58,834166,1,39.499025,-104.811648
377,5407,-223,1433,-116,-220,153,2022,7,2,22,45,58,834166,42,39.499025,-104.811648
377,4882,883,726,-82,368,284,2022,7,2,22,45,58,834166,42,39.499025,-104.811648
377,4882,883,726,-82,368,284,2022,7,2,22,45,58,834166,42,39.499025,-104.811648
377,4882,883,726,-82,368,284,2022,7,2,22,45,58,834166,42,39.499025,-104.811648
377,4051,2,598,106,-521,-565,2022,7,2,22,45,58,834166,42,39.499025,-104.811648
377,4051,2,598,106,-521,-565,2022,7,2,22,45,58,834166,42,39.499025,-104.811648
377,4051,2,598,106,-521,-565,2022,7,2,22,45,58,834166,42,39.499025,-104.811648
377,5752,-162,1739,-110,-98,965,2022,7,2,22,45,58,834166,42,39.499025,-104.811648
377,5752,-162,1739,-110,-98,965,2022,7,2,22,45,59,38564,1,39.499022,-104.811648
377,5752,-162,1739,-110,-98,965,2022,7,2,22,45,59,38564,1,39.499022,-104.811648
377,3028,186,799,-162,300,-553,2022,7,2,22,45,59,38564,1,39.499022,-104.811648
377,3028,186,799,-162,300,-553,2022,7,2,22,45,59,38564,42,39.499022,-104.811648
377,3028,186,799,-162,300,-553,2022,7,2,22,45,59,38564,42,39.499022,-104.811648
377,5672,-203,1398,-86,-371,109,2022,7,2,22,45,59,38564,42,39.499022,-104.811648
377,5672,-203,1398,-86,-371,109,2022,7,2,22,45,59,38564,42,39.499022,-104.811648
377,5672,-203,1398,-86,-371,109,2022,7,2,22,45,59,38564,42,39.499022,-104.811648
377,4582,671,722,-107,315,430,2022,7,2,22,45,59,38564,42,39.499022,-104.811648
377,4582,671,722,-107,315,430,2022,7,2,22,45,59,38564,42,39.499022,-104.811648
377,4582,671,722,-107,315,430,2022,7,2,22,45,59,244122,1,39.499019,-104.811648
377,4043,-47,570,127,-627,-701,2022,7,2,22,45,59,244122,1,39.499019,-104.811648
378,4043,-47,570,127,-627,-701,2022,7,2,22,45,59,244122,1,39.499019,-104.811648
378,4043,-47,570,127,-627,-701,2022,7,2,22,45,59,244122,42,39.499019,-104.811648
378,5777,-281,1730,-147,-84,918,2022,7,2,22,45,59,244122,42,39.499019,-104.811648
378,5777,-281,1730,-147,-84,918,2022,7,2,22,45,59,244122,42,39.499019,-104.811648
378,5777,-281,1730,-147,-84,918,2022,7,2,22,45,59,244122,42,39.499019,-104.811648
378,3060,128,706,-177,419,-563,2022,7,2,22,45,59,244122,42,39.499019,-104.811648
378,3060,128,706,-177,419,-563,2022,7,2,22,45,59,244122,42,39.499019,-104.811648
378,3060,128,706,-177,419,-563,2022,7,2,22,45,59,244122,42,39.499019,-104.811648
378,5832,-249,1294,-35,-413,-150,2022,7,2,22,45,59,244122,42,39.499019,-104.811648
378,5832,-249,1294,-35,-413,-150,2022,7,2,22,45,59,448368,1,39.499016,-104.811648
378,5832,-249,1294,-35,-413,-150,2022,7,2,22,45,59,448368,1,39.499016,-104.811648
378,4688,426,875,-111,222,381,2022,7,2,22,45,59,448368,42,39.499016,-104.811648
378,4688,426,875,-111,222,381,2022,7,2,22,45,59,448368,42,39.499016,-104.811648
378,4688,426,875,-111,222,381,2022,7,2,22,45,59,448368,42,39.499016,-104.811648
378,4231,-429,584,12,-369,-554,2022,7,2,22,45,59,448368,42,39.499016,-104.811648
378,4231,-429,584,12,-369,-554,2022,7,2,22,45,59,448368,42,39.499016,-104.811648
378,4231,-429,584,12,-369,-554,2022,7,2,22,45,59,448368,42,39.499016,-104.811648
378,5151,-271,1464,-119,-4,411,2022,7,2,22,45,59,448368,42,39.499016,-104.811648
378,5151,-271,1464,-119,-4,411,2022,7,2,22,45,59,448368,42,39.499016,-104.811648
378,5151,-271,1464,-119,-4,411,2022,7,2,22,45,59,653469,1,39.499014,-104.811647
