t,acx,acy,acz,gyx,gyy,gyz,y,M,d,h,m,s,us,t,lat,lon
265,4805,-747,1449,-85,-102,406,2022,7,2,22,44,6,848211,42,39.498444,-104.811742
265,4805,-747,1449,-85,-102,406,2022,7,2,22,44,6,848211,42,39.498444,-104.811742
265,4123,-697,891,-72,-108,-331,2022,7,2,22,44,6,848211,42,39.498444,-104.811742
265,4123,-697,891,-72,-108,-331,2022,7,2,22,44,6,848211,42,39.498444,-104.811742
265,4123,-697,891,-72,-108,-331,2022,7,2,22,44,7,53435,1,39.498447,-104.811740
265,5299,-735,1630,-65,-258,328,2022,7,2,22,44,7,53435,1,39.498447,-104.811740
265,5299,-735,1630,-65,-258,328,2022,7,2,22,44,7,53435,42,39.498447,-104.811740
265,5299,-735,1630,-65,-258,328,2022,7,2,22,44,7,53435,42,39.498447,-104.811740
265,3797,-629,835,-56,-101,68,2022,7,2,22,44,7,53435,42,39.498447,-104.811740
265,3797,-629,835,-56,-101,68,2022,7,2,22,44,7,53435,42,39.498447,-104.811740
265,3797,-629,835,-56,-101,68,2022,7,2,22,44,7,53435,42,39.498447,-104.811740
265,4848,-721,1337,-52,-170,-194,2022,7,2,22,44,7,53435,42,39.498447,-104.811740
265,4848,-721,1337,-52,-170,-194,2022,7,2,22,44,7,53435,42,39.498447,-104.811740
265,4848,-721,1337,-52,-170,-194,2022,7,2,22,44,7,53435,42,39.498447,-104.811740
265,4663,-608,1275,-90,-56,516,2022,7,2,22,44,7,53435,42,39.498447,-104.811740
265,4663,-608,1275,-90,-56,516,2022,7,2,22,44,7,266045,1,39.498450,-104.811738
266,4663,-608,1275,-90,-56,516,2022,7,2,22,44,7,266045,1,39.498450,-104.811738
266,3937,-614,913,-13,-250,-440,2022,7,2,22,44,7,266045,42,39.498450,-104.811738
266,3937,-614,913,-13,-250,-440,2022,7,2,22,44,7,266045,42,39.498450,-104.811738
266,3937,-614,913,-13,-250,-440,2022,7,2,22,44,7,266045,42,39.498450,-104.811738
266,5187,-730,1551,-87,-191,309,2022,7,2,22,44,7,266045,42,39.498450,-104.811738
266,5187,-730,1551,-87,-191,309,2022,7,2,22,44,7,266045,42,39.498450,-104.811738
266,5187,-730,1551,-87,-191,309,2022,7,2,22,44,7,266045,42,39.498450,-104.811738
266,4314,-134,867,-81,120,4,2022,7,2,22,44,7,266045,42,39.498450,-104.811738
266,4314,-134,867,-81,120,4,2022,7,2,22,44,7,266045,42,39.498450,-104.811738
266,4314,-134,867,-81,120,4,2022,7,2,22,44,7,462752,1,39.498454,-104.811736
266,4839,-598,1165,19,-261,-327,2022,7,2,22,44,7,462752,1,39.498454,-104.811736
266,4839,-598,1165,19,-261,-327,2022,7,2,22,44,7,462752,42,39.498454,-104.811736
266,4839,-598,1165,19,-261,-327,2022,7,2,22,44,7,462752,42,39.498454,-104.811736
266,4979,-595,1408,-76,-156,570,2022,7,2,22,44,7,462752,42,39.498454,-104.811736
266,4979,-595,1408,-76,-156,570,2022,7,2,22,44,7,462752,42,39.498454,-104.811736
266,4979,-595,1408,-76,-156,570,2022,7,2,22,44,7,462752,42,39.498454,-104.811736
266,3830,-535,902,-126,81,-338,2022,7,2,22,44,7,462752,42,39.498454,-104.811736
266,3830,-535,902,-126,81,-338,2022,7,2,22,44,7,462752,42,39.498454,-104.811736
266,3830,-535,902,-126,81,-338,2022,7,2,22,44,7,462752,42,39.498454,-104.811736
266,5191,-511,1443,-100,-74,-17,2022,7,2,22,44,7,670479,1,39.498458,-104.811734
266,5191,-511,1443,-100,-74,-17,2022,7,2,22,44,7,670479,1,39.498458,-104.811734
266,5191,-511,1443,-100,-74,-17,2022,7,2,22,44,7,670479,42,39.498458,-104.811734
266,4156,-539,867,-77,-79,460,2022,7,2,22,44,7,670479,42,39.498458,-104.811734
266,4156,-539,867,-77,-79,460,2022,7,2,22,44,7,670479,42,39.498458,-104.811734
266,4156,-539,867,-77,-79,460,2022,7,2,22,44,7,670479,42,39.498458,-104.811734
266,3743,-483,757,5,-280,-516,2022,7,2,22,44,7,670479,42,39.498458,-104.811734
266,3743,-483,757,5,-280,-516,2022,7,2,22,44,7,670479,42,39.498458,-104.811734
266,3743,-483,757,5,-280,-516,2022,7,2,22,44,7,670479,42,39.498458,-104.811734
266,5180,-500,1433,-120,-100,391,2022,7,2,22,44,7,670479,42,39.498458,-104.811734
266,5180,-500,1433,-120,-100,391,2022,7,2,22,44,7,873072,1,39.498462,-104.811732
266,5180,-500,1433,-120,-100,391,2022,7,2,22,44,7,873072,1,39.498462,-104.811732
266,3955,124,854,-149,381,13,2022,7,2,22,44,7,873072,42,39.498462,-104.811732
266,3955,124,854,-149,381,13,2022,7,2,22,44,7,873072,42,39.498462,-104.811732
266,3955,124,854,-149,381,13,2022,7,2,22,44,7,873072,42,39.498462,-104.811732
266,4685,172,820,76,-395,-444,2022,7,2,22,44,7,873072,42,39.498462,-104.811732
266,4685,172,820,76,-395,-444,2022,7,2,22,44,7,873072,42,39.498462,-104.811732
266,4685,172,820,76,-395,-444,2022,7,2,22,44,7,873072,42,39.498462,-104.811732
266,5131,34,1532,-85,-207,794,2022,7,2,22,44,7,873072,42,39.498462,-104.811732
266,5131,34,1532,-85,-207,794,2022,7,2,22,44,7,873072,42,39.498462,-104.811732
266,5131,34,1532,-85,-207,794,2022,7,2,22,44,7,873072,42,39.498462,-104.811732
266,3251,-201,698,-132,133,-523,2022,7,2,22,44,8,77351,1,39.498466,-104.811730
266,3251,-201,698,-132,133,-523,2022,7,2,22,44,8,77351,1,39.498466,-104.811730
266,3251,-201,698,-132,133,-523,2022,7,2,22,44,8,77351,42,39.498466,-104.811730
266,5301,-205,1285,-132,-125,63,2022,7,2,22,44,8,77351,42,39.498466,-104.811730
266,5301,-205,1285,-132,-125,63,2022,7,2,22,44,8,77351,42,39.498466,-104.811730
266,5301,-205,1285,-132,-125,63,2022,7,2,22,44,8,77351,42,39.498466,-104.811730
266,4927,854,891,-63,147,353,2022,7,2,22,44,8,77351,42,39.498466,-104.811730
266,4927,854,891,-63,147,353,2022,7,2,22,44,8,77351,42,39.498466,-104.811730
266,4927,854,891,-63,147,353,2022,7,2,22,44,8,77351,42,39.498466,-104.811730
266,4005,-3,576,90,-376,-567,2022,7,2,22,44,8,77351,42,39.498466,-104.811730
267,4005,-3,576,90,-376,-567,2022,7,2,22,44,8,281841,1,39.498471,-104.811729
267,4005,-3,576,90,-376,-567,2022,7,2,22,44,8,281841,1,39.498471,-104.811729
267,5300,-257,1644,-85,-240,774,2022,7,2,22,44,8,281841,42,39.498471,-104.811729
267,5300,-257,1644,-85,-240,774,2022,7,2,22,44,8,281841,42,39.498471,-104.811729
267,5300,-257,1644,-85,-240,774,2022,7,2,22,44,8,281841,42,39.498471,-104.811729
267,3230,-54,750,-161,219,-506,2022,7,2,22,44,8,281841,42,39.498471,-104.811729
267,3230,-54,750,-161,219,-506,2022,7,2,22,44,8,281841,42,39.498471,-104.811729
267,3230,-54,750,-161,219,-506,2022,7,2,22,44,8,281841,42,39.498471,-104.811729
267,5414,-239,1400,-132,-190,147,2022,7,2,22,44,8,281841,42,39.498471,-104.811729
267,5414,-239,1400,-132,-190,147,2022,7,2,22,44,8,281841,42,39.498471,-104.811729
267,5414,-239,1400,-132,-190,147,2022,7,2,22,44,8,491608,1,39.498471,-104.811728
267,4255,728,894,-135,424,211,2022,7,2,22,44,8,491608,1,39.498471,-104.811728
267,4255,728,894,-135,424,211,2022,7,2,22,44,8,491608,42,39.498471,-104.811728
267,4255,728,894,-135,424,211,2022,7,2,22,44,8,491608,42,39.498471,-104.811728
267,4638,60,782,102,-492,-520,2022,7,2,22,44,8,491608,42,39.498471,-104.811728
267,4638,60,782,102,-492,-520,2022,7,2,22,44,8,491608,42,39.498471,-104.811728
